Supplementary Data 1. 3'aTWAS genes of 11 brain disorders.,,,,,,,,,,
Disease,PANEL,Transcript ID,Gene symbol,3'aTWAS.Z,3'aTWAS.P,COLOC.PP0,COLOC.PP1,COLOC.PP2,COLOC.PP3,COLOC.PP4
PD,Brain_Putamen_basal_ganglia,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.113,0.885
PD,Brain_Putamen_basal_ganglia,ALL.NM_001085425@ARSA@chr22@-,ARSA,3.9739,7.07E-05,0,0.31,0,0.001,0.689
PD,Brain_Spinal_cord_cervical_c-1,ALL.NM_007308@SNCA@chr4@-,SNCA,8.516,1.65E-17,0,0,0.841,0.116,0.043
PD,Brain_Spinal_cord_cervical_c-1,ALL.NM_006453@TBL3@chr16@+,TBL3,4.5412,5.59E-06,0.767,0.066,0.074,0.006,0.087
PD,Brain_Spinal_cord_cervical_c-1,ALL.NM_005881@BCKDK@chr16@+,BCKDK,6.3899,1.66E-10,0,0,0.25,0.051,0.699
PD,Brain_Spinal_cord_cervical_c-1,ALL.NM_001271926@BCKDK@chr16@+,BCKDK,6.2606,3.83E-10,0,0,0.431,0.058,0.511
PD,Brain_Spinal_cord_cervical_c-1,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,7.574,3.63E-14,0,0,0.018,0.194,0.787
PD,Brain_Spinal_cord_cervical_c-1,ALL.NM_001042698@ZSWIM7@chr17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.117,0.881
PD,Brain_Spinal_cord_cervical_c-1,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.119,3.06E-07,0,0.002,0,0.115,0.883
PD,Brain_Spinal_cord_cervical_c-1,ALL.NR_026680@LINC02210_2@chr17@+,LINC02210,-7.523,5.36E-14,0,0,0.002,0.013,0.985
PD,Brain_Spinal_cord_cervical_c-1,ALL.NM_001085425@ARSA@chr22@-,ARSA,3.937,8.25E-05,0,0.31,0,0.001,0.689
PD,Brain_Substantia_nigra,ALL.NM_001908@CTSB_1@chr8@-,CTSB,-3.92,8.84E-05,0.184,0.471,0.003,0.008,0.334
PD,Brain_Substantia_nigra,ALL.NM_001042698@ZSWIM7@chr17@-,ZSWIM7,5.2141,1.85E-07,0,0.001,0,0.077,0.921
PD,Brain_Substantia_nigra,ALL.NM_001042697@ZSWIM7@chr17@-,ZSWIM7,5.2092,1.90E-07,0,0.001,0,0.071,0.928
PD,PsychENCODE_DLPFC,ALL.NM_001375288@SNCA@4@-,SNCA,10.3315,5.08E-25,0,0,0,1,0
PD,PsychENCODE_DLPFC,ALL.NM_001908@CTSB@8@-,CTSB,-4.4155,1.01E-05,0,0.461,0,0.006,0.533
PD,PsychENCODE_DLPFC,ALL.NM_007190@SEC23IP@10@+,SEC23IP,4.279,1.88E-05,0.007,0.098,0.001,0.006,0.888
PD,PsychENCODE_DLPFC,ALL.NM_001207034@RNF40@16@+,RNF40,-4.7897,1.67E-06,0,0,0.005,0.975,0.02
PD,PsychENCODE_DLPFC,ALL.NM_001363805@ARL17B@17@-,ARL17B,-8.938,3.96E-19,0,0,0.211,0.241,0.547
PD,PsychENCODE_DLPFC,ALL.NM_001113738@ARL17A_2@17@-,ARL17A,8.0083,1.16E-15,0,0,0,0.253,0.747
PD,PsychENCODE_DLPFC,ALL.NM_001330244@ARL17A_2@17@-,ARL17A,-8.938,3.96E-19,0,0,0.232,0.235,0.533
PD,PsychENCODE_DLPFC,ALL.NM_001288811@ARL17A_2@17@-,ARL17A,5.3002,1.16E-07,0,0,0.902,0.019,0.08
PD,PsychENCODE_DLPFC,ALL.NM_001042698@ZSWIM7@17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.111,0.887
PD,PsychENCODE_DLPFC,ALL.NM_006311@NCOR1@17@-,NCOR1,4.3259,1.52E-05,0.003,0.001,0.176,0.038,0.782
PD,PsychENCODE_DLPFC,ALL.NR_026680@LINC02210_2@17@+,LINC02210,-4.4026,1.07E-05,0.945,0.054,0,0,0
PD,ROSMAP_DLPFC,ALL.NM_001135664@RAB29@1@-,RAB29,6.14392,8.05E-10,0,0,0.001,0.073,0.927
PD,ROSMAP_DLPFC,ALL.NM_001375288@SNCA@4@-,SNCA,12.496557,7.80E-36,0,0,0,0,1
PD,ROSMAP_DLPFC,ALL.NM_001048249@SMIM15@5@-,SMIM15,-5.119,3.07E-07,0,0,0.936,0.039,0.025
PD,ROSMAP_DLPFC,ALL.NM_001207034@RNF40@16@+,RNF40,-4.575,4.76E-06,0,0,0,0.996,0.004
PD,ROSMAP_DLPFC,ALL.NM_001377267@MAPT_1@17@+,MAPT,-9.3134,1.24E-20,0,0,0,0.012,0.988
PD,ROSMAP_DLPFC,ALL.NM_001113738@ARL17A_2@17@-,ARL17A,-6.3099,2.79E-10,0,0,0.239,0.541,0.22
PD,ROSMAP_DLPFC,ALL.NM_001203251@MAPT_1@17@+,MAPT,-9.2998,1.41E-20,0,0,0,0.012,0.988
PD,ROSMAP_DLPFC,ALL.NM_001288811@ARL17A_2@17@-,ARL17A,8.966,3.07E-19,0,0,0.001,0.256,0.743
PD,ROSMAP_DLPFC,ALL.NM_001042698@ZSWIM7@17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.111,0.887
PD,ROSMAP_DLPFC,ALL.NM_001042697@ZSWIM7@17@-,ZSWIM7,5.119,3.07E-07,0,0.002,0,0.111,0.887
PD,ROSMAP_DLPFC,ALL.NM_001256299@LINC02210-CRHR1_2@17@+,LINC02210-CRHR1,-9.297,1.44E-20,0,0,0.446,0.006,0.547
PD,ROSMAP_DLPFC,ALL.NM_001190438@NCOR1@17@-,NCOR1,4.976,6.49E-07,0,0.003,0,0.205,0.792
SCZ,Brain_Amygdala,ALL.NM_001001653@MED8@chr1@-,MED8,-4.107,4.01E-05,0,0,0.722,0.241,0.037
SCZ,Brain_Amygdala,ALL.NM_015120@ALMS1@chr2@+,ALMS1,-4.4115,1.03E-05,0.001,0,0.274,0.091,0.633
SCZ,Brain_Amygdala,ALL.NM_001378454@ALMS1@chr2@+,ALMS1,-4.3803,1.19E-05,0.001,0,0.263,0.094,0.642
SCZ,Brain_Amygdala,ALL.NM_144723@ZMAT2@chr5@+,ZMAT2,4.5435,5.53E-06,0,0,0.561,0.078,0.361
SCZ,Brain_Amygdala,ALL.NM_032361@THOC3@chr5@-,THOC3,4.3057,1.66E-05,0.742,0.185,0.01,0.002,0.061
SCZ,Brain_Amygdala,ALL.NM_005514@HLA-B_5@chr6@-,HLA-B,3.886,1.02E-04,0,0,0.296,0.266,0.438
SCZ,Brain_Amygdala,ALL.NR_001298@HLA-DRB6@chr6@-,HLA-DRB6,-4.96,7.05E-07,0,0,0.017,0.295,0.688
SCZ,Brain_Amygdala,ALL.NM_001164234@DDHD2@chr8@+,DDHD2,-5.355,8.57E-08,0,0,0.002,0.036,0.961
SCZ,Brain_Amygdala,ALL.NM_001362912@DDHD2@chr8@+,DDHD2,-4.945,7.61E-07,0,0,0.45,0.038,0.512
SCZ,Brain_Amygdala,ALL.NM_001321926@CKMT1A@chr15@+,CKMT1A,-4.7818,1.74E-06,0,0,0.463,0.335,0.202
SCZ,Brain_Amygdala,ALL.NM_000977@RPL13@chr16@+,RPL13,4.288,1.80E-05,0,0.003,0,0.943,0.054
SCZ,Brain_Amygdala,ALL.NM_001243131@RPL13@chr16@+,RPL13,4.126,3.69E-05,0,0.003,0.002,0.923,0.072
SCZ,Brain_Amygdala,ALL.NM_001323512@AMFR@chr16@-,AMFR,-3.943,8.05E-05,0,0.197,0,0.027,0.776
SCZ,Brain_Amygdala,ALL.NM_006742@PSKH1@chr16@+,PSKH1,4.408,1.04E-05,0,0.671,0,0.328,0.001
SCZ,Brain_Amygdala,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,-5.0912,3.56E-07,0,0.001,0.003,0.124,0.872
SCZ,Brain_Amygdala,ALL.NM_001291581@RABEP1@chr17@+,RABEP1,-4.592,4.39E-06,0,0.013,0,0.004,0.983
SCZ,Brain_Amygdala,ALL.NR_024484@LINC00909@chr18@-,LINC00909,-4.036,5.44E-05,0,0.085,0,0.43,0.485
SCZ,Brain_Amygdala,ALL.NM_021228@SCAF1@chr19@+,SCAF1,5.4681,4.55E-08,0,0,0.139,0.013,0.848
SCZ,Brain_Amygdala,ALL.NM_014337@PPIL2@chr22@+,PPIL2,4.585,4.54E-06,0,0.019,0,0.042,0.94
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001001653@MED8@chr1@-,MED8,-4.734,2.20E-06,0,0,0.038,0.96,0.002
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_144629@RFTN2@chr2@-,RFTN2,7.7267,1.10E-14,0,0,0.395,0.114,0.491
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_002117@HLA-C_6@chr6@-,HLA-C,-3.9746,7.05E-05,0,0,0,0.996,0.004
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NR_001298@HLA-DRB6@chr6@-,HLA-DRB6,-9.1433,6.06E-20,0,0,0,0.002,0.998
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001204052@SLC25A27@chr6@+,SLC25A27,-4.4783,7.52E-06,0,0.621,0,0.01,0.369
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001164234@DDHD2@chr8@+,DDHD2,-6.22,4.97E-10,0,0,0,0.01,0.99
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001329493@EMC2@chr8@+,EMC2,-4.05,5.13E-05,0.011,0.045,0.003,0.012,0.929
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001291931@TSNARE1@chr8@-,TSNARE1,-4.769,1.85E-06,0,0,0.317,0.03,0.653
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_014673@EMC2@chr8@+,EMC2,-4.099,4.15E-05,0.01,0.045,0.003,0.012,0.93
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001317231@MTCH2_1@chr11@-,MTCH2,4.376,1.21E-05,0,0,0.313,0.583,0.104
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_014342@MTCH2_1@chr11@-,MTCH2,4.421,9.80E-06,0,0,0.324,0.565,0.11
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_016226@VPS29@chr12@-,VPS29,-6.3417,2.27E-10,0,0,0.513,0.053,0.434
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NR_104447@HDDC3@chr15@-,HDDC3,-4.193,2.75E-05,0,0,0.489,0.389,0.122
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_000977@RPL13@chr16@+,RPL13,4.288,0.000018,0,0.003,0,0.943,0.054
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001113738@ARL17A_1@chr17@-,ARL17A,-5.2167,1.82E-07,0,0.001,0,0.062,0.938
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001165962@ELAC2@chr17@-,ELAC2,-5.1312,2.88E-07,0,0,0,0.005,0.995
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001291581@RABEP1@chr17@+,RABEP1,-4.5851,4.54E-06,0,0.021,0,0.008,0.971
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NR_024484@LINC00909@chr18@-,LINC00909,-4.036,5.44E-05,0,0.085,0,0.43,0.485
SCZ,Brain_Anterior_cingulate_cortex_BA24,ALL.NM_001362848@NAGA@chr22@-,NAGA,6.607,3.92E-11,0,0,0.708,0.044,0.248
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001304724@PLEKHO1@chr1@+,PLEKHO1,-4.4263,9.59E-06,0.002,0,0.264,0.031,0.702
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001001653@MED8@chr1@-,MED8,-4.107,4.01E-05,0,0,0.05,0.948,0.002
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_144723@ZMAT2@chr5@+,ZMAT2,6.5365,6.30E-11,0,0,0.276,0.084,0.64
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_032361@THOC3@chr5@-,THOC3,4.7966,1.61E-06,0.091,0.667,0.001,0.009,0.232
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001300962@BRD8@chr5@-,BRD8,5.7541,8.71E-09,0,0,0.643,0.095,0.261
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001164326@BRD8@chr5@-,BRD8,5.7863,7.20E-09,0,0,0.643,0.098,0.259
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_002586@PBX2_6@chr6@-,PBX2,-6.893,5.46E-12,0,0,0.881,0.081,0.038
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_005514@HLA-B_5@chr6@-,HLA-B,5.1994,2.00E-07,0,0,0.015,0.047,0.939
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001282385@CSNK2B_6@chr6@+,CSNK2B,-8.8235,1.11E-18,0,0,0.479,0.06,0.461
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_002117@HLA-C_6@chr6@-,HLA-C,-4.3395,1.43E-05,0,0,0,1,0
SCZ,Brain_Caudate_basal_ganglia,ALL.NR_001298@HLA-DRB6@chr6@-,HLA-DRB6,-7.4059,1.30E-13,0,0,0,0.037,0.963
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001320@CSNK2B_6@chr6@+,CSNK2B,-8.6729,4.21E-18,0,0,0.549,0.059,0.392
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_015332@NUDCD3@chr7@-,NUDCD3,4.026,5.67E-05,0.552,0.056,0.115,0.011,0.265
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001164234@DDHD2@chr8@+,DDHD2,-5.727,1.02E-08,0,0,0,0.178,0.822
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_004311@ARL3@chr10@-,ARL3,-9.665,4.25E-22,0,0,0.115,0.044,0.84
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_033121@ANKRD13A@chr12@+,ANKRD13A,-6.10187,1.05E-09,0,0,0,1,0
SCZ,Brain_Caudate_basal_ganglia,ALL.NR_158192@LOC102724135@chr15@+,LOC102724135,-5.6192,1.92E-08,0,0,0.183,0.026,0.79
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_014630@ZNF592@chr15@+,ZNF592,7.1,1.25E-12,0,0,0.006,0.006,0.988
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_024516@PAGR1@chr16@+,PAGR1,-6.5,8.06E-11,0,0,0.291,0.066,0.644
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_000977@RPL13@chr16@+,RPL13,4.324,1.53E-05,0,0.003,0,0.94,0.056
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001165962@ELAC2@chr17@-,ELAC2,-4.832,1.35E-06,0,0,0,0.005,0.995
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001291581@RABEP1@chr17@+,RABEP1,-4.672,2.98E-06,0,0.016,0,0.005,0.979
SCZ,Brain_Caudate_basal_ganglia,ALL.NR_026680@LINC02210_2@chr17@+,LINC02210,5.683,1.32E-08,0,0,0.121,0.013,0.865
SCZ,Brain_Caudate_basal_ganglia,ALL.NR_034118@NDUFA6-DT_7@chr22@+,NDUFA6-DT,4.05,5.12E-05,0,0,0.937,0.022,0.04
SCZ,Brain_Caudate_basal_ganglia,ALL.NR_145674@CYP2D7_7@chr22@-,CYP2D7,5.76,8.41E-09,0,0,0.887,0.073,0.04
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_014337@PPIL2@chr22@+,PPIL2,4.469,7.86E-06,0,0.026,0,0.057,0.917
SCZ,Brain_Caudate_basal_ganglia,ALL.NM_001362848@NAGA@chr22@-,NAGA,5.317,1.05E-07,0,0,0.398,0.583,0.019
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001001653@MED8@chr1@-,MED8,-4.2564,2.08E-05,0,0,0.001,0.998,0.001
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_181715@CRTC2@chr1@-,CRTC2,4.9329,8.10E-07,0.001,0.001,0.081,0.119,0.799
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_144629@RFTN2@chr2@-,RFTN2,6.407,1.48E-10,0,0,0.896,0.063,0.041
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_032406@PCDHGC4@chr5@+,PCDHGC4,5.808,6.33E-09,0.693,0.088,0.163,0.021,0.036
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_002121@HLA-DPB1_7@chr6@+,HLA-DPB1,-6.9127,4.75E-12,0,0,0,0.999,0.001
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_002117@HLA-C_6@chr6@-,HLA-C,-4.0953,4.22E-05,0,0,0,0.978,0.022
SCZ,Brain_Cerebellar_Hemisphere,ALL.NR_001298@HLA-DRB6@chr6@-,HLA-DRB6,-6.2079,5.37E-10,0,0,0.001,0.137,0.862
SCZ,Brain_Cerebellar_Hemisphere,ALL.NR_024240@HLA-J_7@chr6@+,HLA-J,-4.0322,5.53E-05,0,0,0.847,0.01,0.144
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001293216@TUBB_7@chr6@+,TUBB,-7.657,1.90E-14,0,0,0.92,0.039,0.041
SCZ,Brain_Cerebellar_Hemisphere,ALL.NR_109792@MIR124-2HG@chr8@+,MIR124-2HG,-5.74,9.47E-09,0,0,0.037,0.086,0.877
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001347925@SNX19@chr11@-,SNX19,-5.25075,1.51E-07,0.002,0.001,0.56,0.201,0.236
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001271593@PPME1@chr11@+,PPME1,5.13421,2.83E-07,0.198,0.019,0.469,0.044,0.271
SCZ,Brain_Cerebellar_Hemisphere,ALL.NR_104409@C12orf43@chr12@-,C12orf43,-4.5942,4.34E-06,0.004,0.003,0.192,0.15,0.65
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_016226@VPS29@chr12@-,VPS29,-6.6186,3.63E-11,0,0,0.56,0.049,0.391
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001286191@C12orf43@chr12@-,C12orf43,-4.6204,3.83E-06,0.004,0.003,0.185,0.15,0.658
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_057180@VPS29@chr12@-,VPS29,-6.7626,1.36E-11,0,0,0.481,0.073,0.446
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_001321926@CKMT1A@chr15@+,CKMT1A,-4.777,1.78E-06,0,0,0.93,0.028,0.042
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_014630@ZNF592@chr15@+,ZNF592,6.653,2.87E-11,0,0,0.001,0.136,0.863
SCZ,Brain_Cerebellar_Hemisphere,ALL.NM_024516@PAGR1@chr16@+,PAGR1,-7.4535,9.09E-14,0,0,0.067,0.033,0.9
